code,viet,eng,alternative,brand
BT485R,"Banh tổ chức Meyerding, dài 230mm, kích thước hai lưỡi 52 x 16mm","MEYERDING Retractor, 230 mm (9""), toothed, jaw depth: 52 mm, jaw width 16 mm",09-006-73-07,B-Braun
BT486R,"Banh tổ chức Meyerding, dài 230mm, kích thước hai lưỡi 76 x 25mm","MEYERDING Retractor, 230 mm (9""), toothed, jaw depth: 76 mm, jaw width 25 mm",09-006-74-07,B-Braun
BT487R,"Banh tổ chức Meyerding, dài 255mm, kích thước hai lưỡi 89 x 50mm","MEYERDING Retractor, 255 mm (10""), toothed, jaw depth: 89 mm, jaw width 50 mm",09-006-75-07,B-Braun
BT490R,"Banh tổ chức Kocher-Wagner, dài 280mm, kích thước hai lưỡi 20 x 15mm","KOCHER-WAGNER Retractor, 280 mm (11""), jaw depth: 20 mm, jaw width 15 mm",15-325-01-07,B-Braun
BT492R,"Banh tổ chức Kocher-Wagner, dài 280mm, kích thước hai lưỡi 36 x 20mm","KOCHER-WAGNER Retractor, 280 mm (11""), jaw depth: 36 mm, jaw width 20 mm",15-351-03-07,B-Braun
BT494R,"Banh tổ chức Kocher-Wagner, dài 280mm, kích thước hai lưỡi 64 x 25mm","KOCHER-WAGNER Retractor, 280 mm (11""), jaw depth: 64 mm, jaw width 25 mm",09-008-16-07,B-Braun
BT498R,"Banh tổ chức Kocher-Wagner, dài 280mm, kích thước hai lưỡi 94 x 36mm","KOCHER-WAGNER Retractor, 280 mm (11""), jaw depth: 94 mm, jaw width 36 mm",99-999-99-99,B-Braun
BT500R,"Banh tổ chức Tudor-Edwards, dài 205mm, kích thước hai lưỡi 55 x 47mm","TUDOR-EDWARDS Retractor, 205 mm (8""), jaw depth: 55 mm, jaw width 47 mm",99-999-99-99,B-Braun
BT501R,"Banh tổ chức Taylor, dài 185mm, kích thước ngàm 30 x 70mm","TAYLOR Retractor, 185 mm (7 1/4""), jaw depth: 30 mm, jaw width 70 mm",23-571-16-07,B-Braun
BT502R,"Banh tổ chức Taylor, dài 200mm, kích thước 30 x 100mm","TAYLOR Retractor, 200 mm (7 7/8""), jaw depth: 30 mm, jaw width 100 mm",23-573-16-07,B-Braun
BT503R,"Banh tổ chức Hibbs, dài 235mm, kích thước 25 x 75mm","HIBBS Retractor, 240 mm (9 1/2""), toothed, jaw depth: 25 mm, jaw width 75 mm",09-010-70-07,B-Braun
BT504R,"Banh tổ chức Hibbs, dài 235mm, kích thước 20 x 50mm","HIBBS Retractor, 240 mm (9 1/2""), toothed, jaw depth: 20 mm, jaw width 50 mm",09-010-69-07,B-Braun
BT505R,"Banh tổ chức Hibbs, dài 235mm, kích thước 13 x 25mm","HIBBS Retractor, 240 mm (9 1/2""), toothed, jaw depth: 13 mm, jaw width 25 mm",09-010-68-07,B-Braun
BT508R,"Banh tổ chức Brunner, dài 250mm, kích thước hai lưỡi 80 x 20mm","BRUNNER Retractor, 250 mm (9 3/4""), jaw depth: 80 mm, jaw width 20 mm",15-559-08-07,B-Braun
BT509R,"Banh tổ chức Brunner, dài 250mm, kích thước hai lưỡi 100 x 20mm","BRUNNER Retractor, 250 mm (9 3/4""), jaw depth: 100 mm, jaw width 20 mm",15-559-10-07,B-Braun
BT510R,"Banh tổ chức Brunner, dài 250mm, kích thước hai lưỡi 120 x 25mm","BRUNNER Retractor, 250 mm (9 3/4""), jaw depth: 120 mm, jaw width 25 mm",15-559-12-07,B-Braun
BT511R,"Banh tổ chức Brunner, dài 250mm, kích thước hai lưỡi 140 x 25mm","BRUNNER Retractor, 250 mm (9 3/4""), jaw depth: 140 mm, jaw width 25 mm",15-559-14-07,B-Braun
BT512R,"Banh tổ chức Brunner, dài 250mm, kích thước hai lưỡi 160 x 30mm","BRUNNER Retractor, 250 mm (9 3/4""), jaw depth: 160 mm, jaw width 30 mm",15-559-16-07,B-Braun
BT513R,"Banh tổ chức Brunner, dài 250mm, kích thước hai lưỡi 180 x 30mm","BRUNNER Retractor, 250 mm (9 3/4""), jaw depth: 180 mm, jaw width 30 mm",15-559-18-07,B-Braun
BT514R,"Banh phổi Sauerbruch, lưỡi khuyết, cán khuyết, dài 260mm, kích thước lưỡi 130 x 38mm","SAUERBRUCH Retractor, 260 mm (10 1/4""), fenestrated, jaw depth: 130 mm, jaw width 38 mm",15-537-02-07,B-Braun
BT521R,"Banh phổi Coryllos, lưỡi khuyết, cán khuyết, dài 255mm, kích thước lưỡi 80 x 20mm","CORYLLOS Retractor, 255 mm (10""), fenestrated, jaw depth: 80 mm, jaw width 20 mm",15-537-01-07,B-Braun
BT522R,"Banh phổi Coryllos, lưỡi khuyết, cán khuyết, dài 255mm, kích thước lưỡi 115 x 38mm","CORYLLOS Retractor, 255 mm (10""), fenestrated, jaw depth: 115 mm, jaw width 38 mm",15-537-02-07,B-Braun
BT523R,"Banh phổi Coryllos, lưỡi khuyết, cán khuyết, dài 255mm, kích thước lưỡi 115 x 65mm","CORYLLOS Retractor, 255 mm (10""), fenestrated, jaw depth: 115 mm, jaw width 65 mm",15-537-03-07,B-Braun
BT524R,"Banh tổ chức Brunner, dài 275mm, kích thước hai lưỡi 80 x 20mm","BRUNNER Retractor, 275 mm (10 3/4""), jaw depth: 80 mm, jaw width 20 mm",15-558-08-07,B-Braun
BT525R,"Banh tổ chức Brunner, dài 275mm, kích thước hai lưỡi 100 x 25mm","BRUNNER Retractor, 275 mm (10 3/4""), jaw depth: 100 mm, jaw width 25 mm",15-558-10-07,B-Braun
BT526R,"Banh tổ chức Brunner, dài 275mm, kích thước hai lưỡi 120 x 25mm","BRUNNER Retractor, 275 mm (10 3/4""), jaw depth: 120 mm, jaw width 25 mm",15-558-12-07,B-Braun
BT527R,"Banh tổ chức Brunner, dài 275mm, kích thước hai lưỡi 130 x 30mm","BRUNNER Retractor, 275 mm (10 3/4""), jaw depth: 130 mm, jaw width 30 mm",15-558-13-07,B-Braun
BT528R,"Banh tổ chức Brunner, dài 275mm, kích thước hai lưỡi 140 x 30mm","BRUNNER Retractor, 275 mm (10 3/4""), jaw depth: 140 mm, jaw width 30 mm",15-558-14-07,B-Braun
BT529R,"Banh tổ chức Brunner, dài 275mm, kích thước hai lưỡi 160 x 30mm","BRUNNER Retractor, 275 mm (10 3/4""), jaw depth: 160 mm, jaw width 30 mm",15-558-16-07,B-Braun
BT530R,"Banh tổ chức Brunner, dài 275mm, kích thước hai lưỡi 180 x 30mm","BRUNNER Retractor, 275 mm (10 3/4""), jaw depth: 180 mm, jaw width 30 mm",15-558-18-07,B-Braun
BT531R,"Banh dùng trong phẫu thuật xương vai Davidson, lưỡi khuyết, dài 195mm, kích thước lưỡi 90 x 80mm","DAVIDSON Scapula Retractor, 195 mm (7 3/4""), fenestrated, jaw depth: 90 mm, jaw width 80 mm",15-545-02-07,B-Braun
BT542P,"Banh tổ chức sợi carbon Carbotrac, dài 255mm, kích thước hai lưỡi 100 x 40mm","CARBOTRAC Retractor, 255 mm (10""), jaw depth: 100 mm, jaw width 40 mm, black, carbon fibre reinforc. polymer",99-999-99-99,B-Braun
BT545P,"Banh tổ chức sợi carbon Carbotrac, dài 255mm, kích thước hai lưỡi 140 x 40mm","CARBOTRAC Retractor, 255 mm (10""), jaw depth: 140 mm, jaw width 40 mm, black, carbon fibre reinforc. polymer",99-999-99-99,B-Braun
BT551R,"Dụng cụ vén phổi Harrington, cán linh động, dài 295mm, kích thước lưỡi 123 x 45mm","HARRINGTON Lung Retractor, 295 mm (11 5/8""), flexible, jaw depth: 123 mm, jaw width 45 mm",15-581-01-07,B-Braun
BT552R,"Dụng cụ vén phổi Harrington, cán linh động, dài 295mm, kích thước lưỡi 123 x 64mm","HARRINGTON Lung Retractor, 295 mm (11 5/8""), flexible, jaw depth: 123 mm, jaw width 64 mm",15-581-02-07,B-Braun
BT553R,"Dụng cụ vén phổi Harrington-Pemberton, cán linh động, dài 295mm, kích thước lưỡi 175 x 64mm","HARRINGTON-PEMBERTON Lung Retractor, 295 mm (11 5/8""), flexible, jaw depth: 175 mm, jaw width 64 mm",99-999-99-99,B-Braun
BT559R,"Dụng cụ vén phổi Allison, lưỡi khuyết, dài 255mm,kích thước lưỡi 40mm","ALLISON Lung Retractor, angled, 255 mm (10""), fenestrated, jaw width 40 mm",24-231-30-01,B-Braun
BT560R,"Dụng cụ vén phổi Allison, lưỡi khuyết, dài 320mm, kích thước lưỡi 54mm","ALLISON Lung Retractor, angled, 320 mm (12 1/2""), fenestrated, jaw width 54 mm",24-231-32-01,B-Braun
BT561R,"Dụng cụ vén phổi Allison, lưỡi khuyết, dài 300mm, kích thước lưỡi 137mm","ALLISON Lung Retractor, angled, 300 mm (11 3/4""), fenestrated, jaw width 137 mm",24-231-30-01,B-Braun
BT594R,"Banh tổ chức Zenker, dài 240mm, kích thước lưỡi 36 x 8mm","ZENKER Retractor, 245 mm (9 5/8""), jaw depth: 36 mm, jaw width 8 mm",15-321-01-07,B-Braun
BT595R,"Banh tổ chức Zenker, dài 255mm, kích thước lưỡi 60 x 12mm","ZENKER Retractor, 255 mm (10""), jaw depth: 60 mm, jaw width 12 mm",15-321-02-07,B-Braun
BT596R,"Banh tổ chức Zenker, dài 270mm, kích thước lưỡi 75 x 12mm","ZENKER Retractor, 270 mm (10 5/8""), jaw depth: 75 mm, jaw width 12 mm",15-321-03-07,B-Braun
BT597R,"Banh tổ chức Zenker, dài 290mm, kích thước lưỡi 120 x 12mm","ZENKER Retractor, 295 mm (11 5/8""), jaw depth: 120 mm, jaw width 12 mm",99-999-99-99,B-Braun
BT600R,"Banh tổ chức Deaver, số 000, dài 180mm, kích thước lưỡi 19mm","DEAVER Retractor, 180 mm (7""), Fig. 000, jaw depth: 66 mm, jaw width 19 mm",15-591-01-07,B-Braun
BT601R,"Banh tổ chức Deaver, số 00, dài 215mm, kích thước lưỡi 22mm","DEAVER Retractor, 215 mm (8 1/2""), Fig. 00, jaw depth: 59 mm, jaw width 22 mm",15-591-02-07,B-Braun
BT602R,"Banh tổ chức Deaver, số 1, dài 300mm, kích thước lưỡi 25mm","DEAVER Retractor, 300 mm (11 3/4""), Fig. 1, jaw depth: 80 mm, jaw width 25 mm",15-591-04-07,B-Braun
BT603R,"Banh tổ chức Deaver, số 2, dài 315mm, kích thước lưỡi 25mm","DEAVER Retractor, 315 mm (12 3/8""), Fig. 2, jaw depth: 90 mm, jaw width 25 mm",15-591-05-07,B-Braun
BT604R,"Banh tổ chức Deaver, số 3, dài 300mm, kích thước lưỡi 38mm","DEAVER Retractor, 300 mm (11 3/4""), Fig. 3, jaw depth: 88 mm, jaw width 38 mm",15-591-07-07,B-Braun
BT605R,"Banh tổ chức Deaver, số 4, dài 310mm, kích thước lưỡi 50mm","DEAVER Retractor, 310 mm (12 1/4""), Fig. 4, jaw depth: 88 mm, jaw width 50 mm",15-591-08-07,B-Braun
BT606R,"Banh tổ chức Deaver, số 0, hai đầu, dài 235mm, kích thước lưỡi 25mm","DEAVER Retractor, 235 mm (9 1/4""), double ended, Fig. 0, jaw depth: 107 mm, jaw width 25 mm",15-591-03-07,B-Braun
BT607R,"Banh tổ chức Deaver, số 2 1/1, dài 365mm, kích thước lưỡi 25mm","DEAVER Retractor, 365 mm (14 3/8""), Fig. 2.5, jaw depth: 104 mm, jaw width 25 mm",15-591-06-07,B-Braun
BT608R,"Banh tổ chức Deaver, số 5, dài 320mm, kích thước lưỡi 75mm","DEAVER Retractor, 320 mm (12 1/2""), Fig. 5, jaw depth: 90 mm, jaw width 75 mm",15-591-09-07,B-Braun
BT611R,"Banh tổ chức Deaver, số 1, có cán tiện dụng, dài 310mm, kích thước lưỡi 25mm","DEAVER Retractor, 310 mm (12 1/4""), Fig. 1, jaw depth: 85 mm, jaw width 25 mm",15-592-04-07,B-Braun
BT613R,"Banh tổ chức Deaver, số 3, có tay cầm tiện dụng, dài 310mm, ngàm rộng 38mm","DEAVER Retractor, 310 mm (12 1/4""), Fig. 3, jaw depth: 85 mm, jaw width 38 mm",15-592-07-07,B-Braun
BT614R,"Banh tổ chức Deaver, số 4, uốn cong được, có cán tiện dụng, dài 305mm, kích thước lưỡi 50mm","DEAVER Retractor, 305 mm (12""), Fig. 4, jaw depth: 102 mm, jaw width 50 mm",15-592-08-07,B-Braun
BT615R,"Banh tổ chức Deaver, số 5,có cán tiện dụng, dài 310mm, kích thước lưỡi 75mm","DEAVER Retractor, 310 mm (12 1/4""), Fig. 5, jaw depth: 118 mm, jaw width 75 mm",99-999-99-99,B-Braun
BT617R,"Banh bụng Tuffier, cán đặc, dài 215mm, kích thước lưỡi 58 x 64mm","TUFFIER Abdominal Retractor, 215 mm (8 1/2""), jaw depth: 58 mm, jaw width 64 mm",15-461-25-01,B-Braun
BT618R,"Banh bụng Mikulicz, dài 255mm, kích thước lưỡi 86 x 55mm","MIKULICZ Abdominal Retractor, 255 mm (10""), jaw depth: 86 mm, jaw width 55 mm",15-607-26-07,B-Braun
BT621R,"Banh bụng Mikulicz, dài 240mm, kích thước lưỡi 91 x 35mm","MIKULICZ Abdominal Retractor, 240 mm (9 1/2""), jaw depth: 91 mm, jaw width 35 mm",15-603-01-07,B-Braun
BT622R,"Banh bụng Mikulicz, dài 250mm, kích thước lưỡi 121 x 50mm","MIKULICZ Abdominal Retractor, 250 mm (9 3/4""), jaw depth: 121 mm, jaw width 50 mm",15-603-02-07,B-Braun
BT623R,"Banh bụng Mikulicz, dài 250mm, kích thước lưỡi 147 x 50mm","MIKULICZ Abdominal Retractor, 250 mm (9 3/4""), jaw depth: 155 mm, jaw width 50 mm",15-603-03-07,B-Braun
BT624R,"Banh bụng Mikulicz, dài 260mm, kích thước lưỡi 180 x 50mm","MIKULICZ Abdominal Retractor, 260 mm (10 1/4""), jaw depth: 180 mm, jaw width 50 mm",15-611-02-07,B-Braun
BT625R,"Lưỡi banh gan Muenster, kích thước lưỡi 125 x 140mm","MUENSTER Retraction System (Liver Retractor), liver retractor blade, jaw depth: 125 mm, jaw width 140 mm",99-999-99-99,B-Braun
BT626R,"Banh bụng Mueller, dài 270mm, kích thước lưỡi 250 x 30mm","MUELLER Liver Retractor (Abdominal Wall Retractor), 270 mm (10 5/8""), toothed, jaw depth: 250 mm, jaw width 30 mm",99-999-99-99,B-Braun
BT630R,"Banh bụng Kelly, dài 260mm, kích thước lưỡi 150 x 39mm","KELLY Abdominal Retractor, 265 mm (10 1/2""), jaw depth: 150 mm, jaw width 39 mm",15-611-01-07,B-Braun
BT633R,"Banh bụng Kelly, dài 260mm, kích thước lưỡi 155 x 57mm","KELLY Abdominal Retractor, 260 mm (10 1/4""), jaw depth: 155 mm, jaw width 57 mm",15-611-02-07,B-Braun
BT655R,"Banh bụng Fritshc, số 1, dài 235mm, kích thước lưỡi 32 x 40mm","FRITSCH Abdominal Retractor, 235 mm (9 1/4""), Fig. 1, jaw depth: 32 mm, jaw width 40 mm",15-452-01-07,B-Braun
BT656R,"Banh bụng Fritshc, số 2, dài 235mm, kích thước lưỡi 34 x 50mm","FRITSCH Abdominal Retractor, 235 mm (9 1/4""), Fig. 2, jaw depth: 34 mm, jaw width 50 mm",15-452-02-07,B-Braun
BT657R,"Banh bụng Fritshc, số 3, dài 235mm, kích thước lưỡi 41 x 60mm","FRITSCH Abdominal Retractor, 235 mm (9 1/4""), Fig. 3, jaw depth: 41 mm, jaw width 60 mm",15-452-03-07,B-Braun
BT658R,"Banh bụng Fritshc, số 4, dài 235mm, kích thước lưỡi 46 x 75mm","FRITSCH Abdominal Retractor, 235 mm (9 1/4""), Fig. 4, jaw depth: 46 mm, jaw width 75 mm",15-452-04-07,B-Braun
BT659R,"Banh bụng Fritshc, số 5, dài 235mm, kích thước lưỡi 64 x 85mm","FRITSCH Abdominal Retractor, 235 mm (9 1/4""), Fig. 5, jaw depth: 64 mm, jaw width 85 mm",15-452-05-07,B-Braun
BT667R,"Banh bụng Doyen, dài 250mm, kích thước lưỡi 53 x 80mm","DOYEN Abdominal Retractor, 250 mm (9 3/4""), jaw depth: 55 mm, jaw width 80 mm",15-461-25-01,B-Braun
BT669R,"Banh bụng Doyen, dài 260mm, kích thước lưỡi 78 x 82mm","DOYEN Abdominal Retractor, 260 mm (10 1/4""), jaw depth: 80 mm, jaw width 82 mm",99-999-99-99,B-Braun
BT670R,"Banh dùng trong phẫu thuật khung xương chậu ST. Marks, dài 290mm, kích thước lưỡi 124 x 60mm","ST. MARKS Pelvis Retractor, 290 mm (11 1/2""), jaw depth: 124 mm, jaw width 60 mm",15-615-01-01,B-Braun
BT672R,"Banh dùng trong phẫu thuật khung xương chậu ST. Marks, dài 330mm, kích thước lưỡi 174 x 60mm","ST. MARKS Pelvis Retractor, 330 mm (13""), jaw depth: 174 mm, jaw width 60 mm",15-615-02-01,B-Braun
BT674R,"Banh dùng trong phẫu thuật khung xương chậu ST. Marks, dài 330mm, kích thước lưỡi 178 x 60mm","ST. MARKS Pelvis Retractor, 330 mm (13""), jaw depth: 178 mm, jaw width 60 mm",15-615-03-01,B-Braun
BT680R,"Banh đám rối và niệu đạo Barre, dài 360mm","BARRE Prostate Retractor, 360 mm (14 1/4""), jaw depth: 110 mm, jaw width 26 mm",99-999-99-99,B-Braun
BT681R,"Banh đám rối và niệu đạo Barre, dài 390mm","BARRE Urethra Retractor, 390 mm (15 3/8""), jaw depth: 124 mm, jaw width 7.50 mm",99-999-99-99,B-Braun
BT703R,"Dây xích kèm quả cân, bao gồm dây xích BT704R dài 790mm, và quả cân EL747R nặng 645g","Abdominal Retractor, chain with weight, 790 mm (31""), cons. of BT704R, EL747R, Set",99-999-99-99,B-Braun
BT704R,"Dây xích, có một móc lò xo","Chain, with one spring hook, 790 mm (31"")",99-999-99-99,B-Braun
BT708R,"Khung treo banh Rochard, khung kép, rộng 530mm","ROCHARD Abdominal Retraction System, mounting frame, double, jaw width 530 mm",99-999-99-99,B-Braun
BT709R,"Khung treo banh Rochard, khung đơn, rộng 530mm","ROCHARD Abdominal Retraction System, single, mounting frame, jaw width 530 mm",99-999-99-99,B-Braun
BT710R,"Dụng cụ cố định Rochard dành cho BT711R-BT715R, dài 190mm","ROCHARD Abdominal Retraction System, fixation base, 190 mm (7 1/2"")",15-917-04-07,B-Braun
BT711R,"Lưỡi Rochard dùng cho banh bụng , dài 310mm, kích thước lưỡi 48 x 90mm","ROCHARD Abdominal Retraction System, blade only, 310 mm (12 1/4""), jaw depth: 48 mm, jaw width 90 mm",09-006-13-07,B-Braun
BT712R,"Lưỡi Rochard dùng cho banh bụng , dài 310mm, kích thước lưỡi 48 x 105mm","ROCHARD Abdominal Retraction System, blade only, 310 mm (12 1/4""), jaw depth: 48 mm, jaw width 105 mm",15-917-10-07,B-Braun
BT713R,"Lưỡi Rochard dùng cho banh bụng , dài 310mm, kích thước lưỡi 48 x 120mm","ROCHARD Abdominal Retraction System, blade only, 310 mm (12 1/4""), jaw depth: 48 mm, jaw width 120 mm",15-917-12-07,B-Braun
BT714R,"Lưỡi Rochard dùng cho banh bụng , dài 310mm, kích thước lưỡi 48 x 135mm","ROCHARD Abdominal Retraction System, blade only, 310 mm (12 1/4""), jaw depth: 48 mm, jaw width 135 mm",09-006-14-07,B-Braun
BT715R,"Lưỡi Rochard dùng cho banh bụng , dài 310mm, kích thước lưỡi 48 x 155mm","ROCHARD Abdominal Retraction System, blade only, 310 mm (12 1/4""), jaw depth: 48 mm, jaw width 155 mm",15-917-15-07,B-Braun
BT721R,"Banh bụng Doyen, dài 280mm, kích thước lưỡi 48 x 90mm","DOYEN Abdominal Retractor, 280 mm (11""), jaw depth: 48 mm, jaw width 90 mm",99-999-99-99,B-Braun
BT723R,"Banh bụng Doyen, dài 280mm, kích thước lưỡi 48 x 105mm","DOYEN Abdominal Retractor, 280 mm (11""), jaw depth: 48 mm, jaw width 105 mm",99-999-99-99,B-Braun
BT724R,"Banh bụng Doyen, dài 280mm, kích thước lưỡi 48 x 120mm","DOYEN Abdominal Retractor, 280 mm (11""), jaw depth: 48 mm, jaw width 120 mm",99-999-99-99,B-Braun
BT725R,"Banh bụng Doyen, dài 280mm, kích thước lưỡi 48 x 135mm","DOYEN Abdominal Retractor, 280 mm (11""), jaw depth: 48 mm, jaw width 135 mm",99-999-99-99,B-Braun
BT730R,"Vén bụng/ruột Leriche, dài 255mm, lưỡi rộng 45mm","LERICHE Abdominal/Intestinal Spatula, 265 mm (10 1/2""), jaw depth: 131 mm, jaw width 45 mm",99-999-99-99,B-Braun
BT732R,"Vén bụng/ruột Leriche, dài 275mm, lưỡi rộng 60mm","LERICHE Abdominal/Intestinal Spatula, 275 mm (10 3/4""), jaw depth: 137 mm, jaw width 60 mm",99-999-99-99,B-Braun
BT740R,"Vén bụng/ruột Kuemmel, dễ uốn, dài 285mm, lưỡi rộng 46mm","KUEMMEL Abdominal/Intestinal Spatula, 285 mm (11 1/4""), malleable, jaw depth: 124 mm, jaw width 46 mm",99-999-99-99,B-Braun
BT742R,"Vén bụng/ruột Koerte, dài 300mm, lưỡi rộng 46mm","KOERTE Abdominal/Intestinal Spatula, 300 mm (11 3/4""), jaw depth: 108 mm, jaw width 46 mm",99-999-99-99,B-Braun
BT746R,"Vén bụng/ruột Kader, lưỡi có khía, có tay cầm, dài 270mm, lưỡi rộng 30mm","KADER Abdominal/Intestinal Spatula, curved, 270 mm (10 5/8""), serrated, jaw width 30 mm",15-623-30-07,B-Braun
BT747R,"Đè bụng/ruột Kader, lưỡi có khía, có tay cầm, dài 270mm, lưỡi rộng 40mm","KADER Abdominal/Intestinal Spatula, curved, 270 mm (10 5/8""), serrated, jaw width 40 mm",15-623-40-07,B-Braun
BT749R,"Đè bụng/ruột Reverdin, dài 285mm, 2 lưỡi rộng 45mm và 63mm","REVERDIN Abdominal/Intestinal Spatula, curved, 285 mm (11 1/4""), double ended, jaw width 63 mm/45 mm",15-953-28-07,B-Braun
BT750R,"Đè bụng/ruột Tuffier, thon, dễ uốn, dài 200mm, 2 lưỡi rộng 17mm và 25mm","TUFFIER Abdominal/Intestinal Spatula, straight, 200 mm (7 7/8""), tapered, malleable, double ended, jaw width 17 mm",15-971-00-01,B-Braun
BT751R,"Đè bụng/ruột, dễ uốn, dài 200mm, lưỡi rộng 12mm","Abdominal/Intestinal Spatula, straight, 200 mm (7 7/8""), malleable, double ended, jaw width 12 mm",15-975-13-01,B-Braun
BT752R,"Đè bụng/ruột, dễ uốn, dài 200mm, lưỡi rộng 17mm","Abdominal/Intestinal Spatula, straight, 200 mm (7 7/8""), double ended, malleable, jaw width 17 mm",15-975-16-01,B-Braun
BT755R,"Đè bụng/ruột, dễ uốn, dài 250mm, lưỡi rộng 25mm","Abdominal/Intestinal Spatula, straight, 250 mm (9 3/4""), malleable, double ended, jaw width 25 mm",15-975-25-01,B-Braun
BT756R,"BANH BỤNG, 25X330MM","RIBBON Abdominal/Intestinal Spatula, straight, 330 mm (13""), malleable, double ended, jaw width 25 mm",09-006-72-07,B-Braun
BT758R,"Đè bụng/ruột Haberer, thon, dễ uốn, dài 305mm, 2 lưỡi rộng 40mm và 50mm","HABERER Abdominal/Intestinal Spatula, straight, 305 mm (12""), tapered, double ended, malleable, jaw width 40 mm",15-971-02-01,B-Braun
BT761R,"Đè bụng/ruột Ribbon, dễ uốn, dài 330mm, lưỡi rộng 30mm","RIBBON Abdominal/Intestinal Spatula, straight, 330 mm (13""), malleable, double ended, jaw width 30 mm",15-963-01-01,B-Braun
BT762R,"Đè bụng/ruột Ribbon, dễ uốn, dài 330mm, lưỡi rộng 40mm","RIBBON Abdominal/Intestinal Spatula, straight, 330 mm (13""), malleable, double ended, jaw width 40 mm",15-963-02-01,B-Braun
BT763R,"Đè bụng/ruột Ribbon, dễ uốn, dài 330mm, lưỡi rộng 50mm","RIBBON Abdominal/Intestinal Spatula, straight, 330 mm (13""), malleable, double ended, jaw width 50 mm",15-963-03-01,B-Braun
BT773R,"Đè bụng/ruột, dễ uốn, có tay cầm, dài 410mm, lưỡi rộng 30mm","Abdominal/Intestinal Spatula, 410 mm (16 1/8""), malleable, jaw width 30 mm",99-999-99-99,B-Braun
BT774R,"Đè bụng/ruột, dễ uốn, có tay cầm, dài 410mm, lưỡi rộng 40mm","Abdominal/Intestinal Spatula, 410 mm (16 1/8""), malleable, jaw width 40 mm",99-999-99-99,B-Braun
BT775R,"Đè bụng/ruột, dễ uốn, có tay cầm, dài 410mm, lưỡi rộng 50mm","Abdominal/Intestinal Spatula, 410 mm (16 1/8""), malleable, jaw width 50 mm",99-999-99-99,B-Braun
BT776R,"Đè bụng/ruột, dễ uốn, có tay cầm, dài 410mm, lưỡi rộng 60mm","Abdominal/Intestinal Spatula, 410 mm (16 1/8""), malleable, jaw width 60 mm",99-999-99-99,B-Braun
BT777R,"Đè bụng/ruột, dễ uốn, có tay cầm, dài 410mm, lưỡi rộng 70mm","Abdominal/Intestinal Spatula, 410 mm (16 1/8""), malleable, jaw width 70 mm",99-999-99-99,B-Braun
BT795R,"Dụng cụ đè lưỡi Kocher, hình thìa, dài 220mm, lưỡi rộng 28mm","KOCHER Depressor Spoon, 220 mm (8 3/4""), spoon shaped, jaw width 28 mm",99-999-99-99,B-Braun
BT799R,"Tay cầm dùng cho banh bụng Vario, có đèn ánh sáng lạnh, dài 180mm","Vario Retractor (cold light), handle only, 180 mm (7"")",99-999-99-99,B-Braun
BT800R,"Tay cầm dùng cho banh bụng Vario, có đèn ánh sáng lạnh, dài 280mm","Vario Retractor (cold light), handle only, 280 mm (11"")",99-999-99-99,B-Braun
BT801R,"Lưỡi banh bụng Vario dùng cho BT779R và BT800R, kích thước 55 x 14mm","Vario Retractor (cold light), blade only, 115 mm (4 1/2""), jaw depth: 55 mm, jaw width 14 mm",99-999-99-99,B-Braun
BT802R,"Lưỡi banh bụng Vario dùng cho BT779R và BT800R, kích thước 55 x 18mm","Vario Retractor (cold light), blade only, 115 mm (4 1/2""), jaw depth: 55 mm, jaw width 18 mm",99-999-99-99,B-Braun
BT803R,"Lưỡi banh bụng Vario dùng cho BT779R và BT800R, kích thước 55 x 22mm","Vario Retractor (cold light), blade only, 115 mm (4 1/2""), jaw depth: 55 mm, jaw width 22 mm",99-999-99-99,B-Braun
BT806R,"Lưỡi banh bụng Vario dùng cho BT779R và BT800R, kích thước 75 x 14mm","Vario Retractor (cold light), blade only, 115 mm (4 1/2""), jaw depth: 75 mm, jaw width 14 mm",99-999-99-99,B-Braun
BT807R,"Lưỡi banh bụng Vario dùng cho BT779R và BT800R, kích thước 75 x 18mm","Vario Retractor (cold light), blade only, 115 mm (4 1/2""), jaw depth: 75 mm, jaw width 18 mm",99-999-99-99,B-Braun
BT808R,"Lưỡi banh bụng Vario dùng cho BT779R và BT800R, kích thước 75 x 22mm","Vario Retractor (cold light), blade only, 115 mm (4 1/2""), jaw depth: 75 mm, jaw width 22 mm",99-999-99-99,B-Braun
BT812R,"Lưỡi banh bụng Vario dùng cho BT779R và BT800R, kích thước 95 x 18mm","Vario Retractor (cold light), blade only, 115 mm (4 1/2""), jaw depth: 95 mm, jaw width 18 mm",99-999-99-99,B-Braun
BT813R,"Lưỡi banh bụng Vario dùng cho BT779R và BT800R, kích thước 95 x 22mm","Vario Retractor (cold light), blade only, 115 mm (4 1/2""), jaw depth: 95 mm, jaw width 22 mm",99-999-99-99,B-Braun
BT814R,"Lưỡi banh bụng Vario dùng cho BT779R và BT800R, kích thước 95 x 26mm","Vario Retractor (cold light), blade only, 115 mm (4 1/2""), jaw depth: 95 mm, jaw width 26 mm",99-999-99-99,B-Braun
BT815R,"Lưỡi banh bụng Vario dùng cho BT779R và BT800R, kích thước 95 x 30mm","Vario Retractor (cold light), blade only, 115 mm (4 1/2""), jaw depth: 95 mm, jaw width 30 mm",99-999-99-99,B-Braun
